Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
2008-12-12,2,15.9,21.7,2.2,,,NNE,31.0,ENE,13.0,91.0,1004.2,8.0,17.0,Yes,Yes
2008-12-13,2,15.9,18.6,15.6,,,W,61.0,NNW,28.0,93.0,993.0,8.0,15.8,Yes,Yes
2009-01-22,2,24.4,34.0,0.6,,,NW,98.0,NNW,48.0,39.0,997.8,1.0,33.1,No,Yes
2009-06-07,2,4.7,11.6,14.4,,,NNW,30.0,NNW,17.0,80.0,1006.3,8.0,11.5,Yes,Yes
2009-07-30,2,3.3,12.1,0.2,,,NNW,22.0,WNW,9.0,76.0,1022.7,7.0,12.0,No,Yes
2009-08-29,2,7.2,17.9,4.2,,,W,59.0,W,19.0,80.0,996.9,8.0,17.5,Yes,Yes
2009-10-03,2,8.5,13.5,3.2,,,SSE,31.0,ESE,11.0,75.0,1015.1,7.0,13.0,Yes,Yes
2009-10-12,2,5.8,23.3,0.0,,,W,59.0,NE,20.0,64.0,999.4,1.0,19.0,No,Yes
2010-02-04,2,23.5,32.0,0.0,,,NNW,44.0,,,44.0,1006.2,,31.1,No,Yes
2010-08-11,2,7.2,10.4,8.2,,,NNE,33.0,N,13.0,85.0,1000.1,8.0,10.0,Yes,Yes
2010-08-19,2,5.0,15.1,15.4,,,NW,57.0,NW,30.0,56.0,1007.8,6.0,14.5,Yes,Yes
2010-10-13,2,14.7,18.0,11.4,,,WSW,30.0,E,11.0,94.0,1013.7,8.0,16.7,Yes,Yes
2011-01-09,2,20.1,33.0,0.0,,,ENE,61.0,SSE,22.0,41.0,1010.6,,32.5,No,Yes
2011-02-02,2,21.9,33.7,0.0,,,NNE,41.0,N,20.0,49.0,1011.1,,32.0,No,Yes
2011-02-04,2,22.5,28.2,2.6,,,WNW,81.0,SE,9.0,99.0,1011.1,8.0,23.4,Yes,Yes
2011-02-16,2,18.9,22.0,0.2,,,ENE,31.0,NE,13.0,85.0,1016.1,,20.6,No,Yes
2011-09-20,2,10.1,13.6,1.0,,,W,61.0,W,22.0,70.0,1011.2,,12.9,No,Yes
2011-11-25,2,15.0,20.0,11.0,,,,,,,,,,,Yes,Yes
2011-11-26,2,15.0,25.0,44.0,,,,,,,,,,,Yes,Yes
2012-01-30,2,20.8,29.1,26.8,,,WNW,48.0,NNW,28.0,69.0,995.4,8.0,27.0,Yes,Yes
2012-03-01,2,17.1,20.9,104.2,,,SE,57.0,SE,20.0,88.0,1001.9,8.0,18.5,Yes,Yes
2012-04-22,2,14.0,23.0,1.4,,,NE,43.0,NNE,20.0,57.0,1008.7,8.0,21.8,Yes,Yes
2012-07-09,2,0.2,15.1,0.0,,,E,24.0,SE,9.0,60.0,1024.2,1.0,14.3,No,Yes
2012-07-15,2,6.4,11.3,9.4,,,NW,33.0,WNW,17.0,64.0,1021.6,8.0,10.2,Yes,Yes
2012-07-28,2,4.1,13.2,4.0,,,W,28.0,WNW,15.0,71.0,1020.1,8.0,12.4,Yes,Yes
2012-08-24,2,5.3,11.4,9.4,,,WNW,46.0,NW,20.0,70.0,1012.9,8.0,11.1,Yes,Yes
2012-10-11,2,7.4,11.6,0.8,,,SSE,28.0,S,13.0,85.0,1008.0,8.0,10.2,No,Yes
2013-05-14,2,1.9,11.6,4.6,,,N,22.0,NNW,15.0,82.0,1013.7,8.0,11.2,Yes,Yes
2013-08-07,2,3.4,11.5,0.4,,,NE,28.0,N,11.0,89.0,1010.7,8.0,10.2,No,Yes
2013-08-09,2,2.6,11.2,0.0,,,NNW,20.0,N,11.0,85.0,1016.6,8.0,10.4,No,Yes
2013-08-19,2,6.6,11.3,6.0,,,SW,52.0,WNW,20.0,72.0,1011.1,,8.3,Yes,Yes
2013-12-26,2,14.9,30.8,0.0,,,SW,52.0,NNE,11.0,28.0,1008.7,1.0,29.8,No,Yes
2014-02-14,2,21.3,30.6,0.0,,,WSW,28.0,WSW,13.0,33.0,1003.5,,30.1,No,Yes
2014-03-11,2,18.6,34.3,0.0,,,WNW,50.0,NNW,19.0,27.0,1017.2,,33.2,No,Yes
2014-03-24,2,10.6,20.7,0.0,,,NE,24.0,NNE,9.0,49.0,1017.0,4.0,19.9,No,Yes
2014-04-10,2,15.7,17.6,12.4,,,E,20.0,E,13.0,100.0,1010.5,8.0,17.3,Yes,Yes
2014-04-22,2,8.2,22.2,0.0,,,NE,28.0,NE,19.0,48.0,1015.0,1.0,21.7,No,Yes
2014-06-28,2,9.0,12.4,1.4,,,NW,44.0,NNW,24.0,74.0,998.9,7.0,10.9,Yes,Yes
2014-07-09,2,5.0,11.6,3.8,,,NNE,43.0,N,13.0,87.0,998.8,8.0,8.4,Yes,Yes
2014-09-09,2,11.7,18.4,0.2,,,WNW,78.0,NE,17.0,82.0,1006.8,6.0,15.9,No,Yes
2014-11-01,2,15.2,21.7,0.0,,,W,59.0,W,35.0,37.0,1005.0,1.0,20.7,No,Yes
2014-11-24,2,19.8,26.6,0.0,,,WSW,69.0,NE,17.0,81.0,1008.9,8.0,22.3,No,Yes
2015-01-09,2,20.4,26.4,5.4,,,SSE,30.0,S,20.0,65.0,1007.4,8.0,25.5,Yes,Yes
2015-01-13,2,18.1,27.0,0.0,,,NNE,39.0,NNE,13.0,95.0,1000.9,8.0,20.5,No,Yes
