,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
0,2008-12-04,2,9.2,28.0,0.0,,,NE,24.0,E,9.0,16.0,1012.8,,26.5,No,No
1,2008-12-08,2,7.7,26.7,0.0,,,W,35.0,W,17.0,19.0,1010.1,,25.5,No,No
2,2008-12-12,2,15.9,21.7,2.2,,,NNE,31.0,ENE,13.0,91.0,1004.2,8.0,17.0,Yes,Yes
3,2008-12-13,2,15.9,18.6,15.6,,,W,61.0,NNW,28.0,93.0,993.0,8.0,15.8,Yes,Yes
4,2009-01-06,2,13.7,37.9,0.0,,,W,52.0,WNW,26.0,8.0,1006.7,,36.8,No,No
5,2009-01-09,2,12.5,28.4,0.0,,,NE,37.0,S,9.0,16.0,1013.7,,26.6,No,No
6,2009-01-13,2,17.2,37.7,0.0,,,NNW,35.0,NW,17.0,19.0,1010.9,,35.7,No,No
7,2009-01-16,2,14.9,26.7,0.0,,,SW,56.0,SW,31.0,20.0,1012.7,,25.5,No,No
8,2009-01-19,2,13.9,36.6,0.0,,,WNW,39.0,NNE,15.0,10.0,1010.6,,34.4,No,No
9,2009-01-22,2,24.4,34.0,0.6,,,NW,98.0,NNW,48.0,39.0,997.8,1.0,33.1,No,Yes
10,2009-01-23,2,18.8,35.2,6.4,,,WNW,52.0,NW,28.0,28.0,1003.9,,33.0,Yes,No
11,2009-02-10,2,14.9,27.3,0.0,,,SSE,41.0,SE,13.0,30.0,1008.5,1.0,25.8,No,No
12,2009-02-20,2,18.7,29.1,0.0,,,SSW,41.0,SSE,17.0,39.0,1010.8,,26.8,No,No
13,2009-02-24,2,12.9,29.6,0.0,,,WNW,46.0,WNW,24.0,14.0,1012.7,7.0,28.6,No,No
14,2009-02-25,2,8.9,31.9,0.0,,,WNW,43.0,WSW,17.0,16.0,1013.4,7.0,29.3,No,No
15,2009-03-08,2,11.0,30.2,0.0,,,SSE,24.0,SSE,11.0,20.0,1014.7,,28.8,No,No
16,2009-03-16,2,8.8,21.9,0.0,,,W,39.0,WNW,20.0,34.0,1011.6,6.0,20.5,No,No
