Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
2009-01-03,10,15.5,34.1,0.0,12.6,13.3,SE,30.0,N,7.0,7.0,1011.6,1.0,32.7,No,No
2009-01-16,10,21.6,34.2,0.0,17.4,13.1,SW,44.0,S,19.0,8.0,1012.3,0.0,32.2,No,No
2009-01-21,10,25.4,33.5,0.0,13.6,3.7,N,46.0,N,28.0,52.0,1009.8,7.0,29.7,No,No
2009-01-27,10,27.0,38.7,0.0,14.2,13.0,ENE,46.0,ESE,7.0,22.0,1012.6,3.0,36.4,No,No
2009-02-05,10,27.2,43.4,0.0,14.2,12.6,NNW,37.0,N,7.0,14.0,1003.3,3.0,43.0,No,No
2009-02-08,10,25.1,42.0,0.0,17.4,13.0,NNE,39.0,NNE,13.0,9.0,1007.3,1.0,40.4,No,No
2009-02-18,10,16.5,27.4,1.6,2.0,10.0,E,30.0,ESE,15.0,53.0,1006.2,6.0,27.0,Yes,No
2009-02-24,10,21.0,34.7,2.0,10.0,9.0,E,46.0,NW,22.0,34.0,1011.7,4.0,32.9,Yes,No
2009-02-27,10,19.9,33.5,0.0,9.2,12.3,NE,39.0,N,7.0,22.0,1011.7,1.0,32.3,No,No
2009-02-28,10,22.2,36.9,0.0,9.4,12.0,WSW,41.0,WNW,19.0,18.0,1008.1,2.0,35.8,No,No
2009-03-03,10,23.0,38.9,0.0,7.2,8.4,W,65.0,NNE,28.0,20.0,1008.6,1.0,37.5,No,No
2009-03-19,10,15.3,32.3,0.0,6.0,11.3,SW,24.0,SSW,9.0,16.0,1012.7,1.0,30.8,No,No
2009-03-22,10,20.9,34.3,0.0,10.2,7.9,NNW,28.0,WNW,13.0,19.0,1011.9,1.0,32.8,No,No
2009-03-24,10,19.2,37.0,0.0,10.2,11.1,NNW,43.0,NW,20.0,12.0,1013.7,1.0,35.6,No,No
2009-03-25,10,23.5,36.5,0.0,15.6,7.8,NNW,44.0,N,20.0,14.0,1016.0,5.0,35.6,No,No
2009-03-26,10,21.9,36.4,0.0,11.4,6.6,NNW,37.0,NW,9.0,13.0,1016.8,4.0,36.3,No,No
