Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
2007/11/2,9,14,26.9,3.6,4.4,9.7,ENE,39,W,17,36,1008.4,3,25.7,Yes,Yes
2007/11/7,9,6.1,18.2,0.2,4.2,8.4,SE,43,ESE,26,47,1022.2,6,17.3,No,No
2007/11/18,9,11.7,30,1.2,7.2,10.1,S,52,NE,11,26,1013,5,28.6,Yes,No
2007/11/21,9,15.3,33.4,0,8.8,9.5,WNW,59,NW,31,26,1006.5,5,32.8,No,No
2007/12/5,9,14.5,21.8,0,8.4,9.8,ENE,43,E,30,63,1015.3,1,20.5,No,No
2007/12/9,9,15,29.4,0,6.6,11.1,NW,43,W,24,24,1008.5,7,28.6,No,No
2007/12/19,9,12.8,21,0,6.4,0.8,NE,22,ENE,6,54,1015.6,8,20,No,Yes
2008/1/9,9,17.5,29.9,0,6.6,8.8,E,43,ENE,11,45,1015.9,1,27.9,No,No
2008/1/15,9,15.4,33.8,0,5.2,11.1,W,35,NW,15,26,1009,1,31.7,No,No
2008/1/21,9,15.9,19.9,0.8,5.6,1.6,E,48,ESE,22,58,1012.1,7,18.6,No,No
2008/1/22,9,10,22.5,0,4.4,11.6,E,33,S,7,46,1016.8,2,22.2,No,No
2008/1/26,9,12.7,28.8,0,7.4,9,NNE,28,SSW,7,28,1012.4,5,28.3,No,No
2008/1/30,9,18,34.9,0,9.2,9.9,NW,69,W,13,29,1013.7,6,33.1,No,Yes
2008/2/1,9,16,23.8,2.2,5.4,6.2,SSE,30,ESE,11,49,1017.1,7,22.9,Yes,No
2008/2/2,9,14.9,28.8,0,5.8,8.1,NNE,30,NNE,11,44,1014.5,2,27,No,No
2008/2/13,37,18.4,22.8,14.4,7,3.3,,,S,30,70,1011.7,7,21,Yes,Yes
2008/2/19,37,19,24.8,0,5.2,7.5,,,E,17,65,1015.4,7,23.4,No,No
2008/2/20,37,18.3,26.4,0,4.6,11.1,,,E,22,60,1010.8,1,25.2,No,No
2008/2/24,9,12,23.8,0,10.4,12.4,NW,44,WNW,30,34,1007.2,1,22.9,No,No
2008/2/26,37,19.3,26.2,0,3.6,8.4,,,E,28,65,1015.6,6,25.8,No,Yes
2008/3/3,37,15,23.1,0.2,2.6,11.2,,,ENE,19,57,1022.5,1,22.5,No,No
2008/3/4,37,15.5,25.4,0,6.8,11.3,,,E,19,57,1018.6,2,23.8,No,No
2008/3/11,37,18.6,26.1,0,7.6,11.3,,,E,20,58,1021.4,0,26,No,No
2008/3/14,37,18.8,26,0,5.4,11,,,ENE,24,62,1020,1,25.7,No,No
2008/3/18,37,19,26.7,0,8,9.7,,,ENE,20,58,1020,2,25.6,No,No
2008/3/25,9,13.1,17.4,6.4,2.8,0,NNW,43,N,20,93,1006.5,8,16.6,Yes,Yes
2008/3/26,37,17,27.2,19,2.4,10.5,,,NW,6,38,1007.9,5,27.1,Yes,No
2008/4/4,37,11.2,22.2,0,7.6,10.6,,,E,15,37,1019.2,0,21,No,No
2008/4/16,37,13.8,20.9,1.4,4.6,2.2,,,SSW,20,85,1024.6,8,16.2,Yes,Yes
2008/4/18,9,7.9,19.7,0,3.2,8.3,ESE,48,ENE,11,43,1024.1,6,19.1,No,No
2008/4/23,9,7.5,19,0,4,6.8,ENE,26,ESE,7,43,1022.2,5,18.1,No,No
2008/4/24,9,2.5,21.2,0,2,7.9,NE,28,NE,9,55,1019.8,4,17.6,No,No
2008/4/28,37,11.9,16.8,0,7.6,8.5,,,WSW,24,33,1008.6,6,15.6,No,No
2008/5/3,9,0.5,17.1,0,4,9.4,NW,31,W,13,42,1017.4,1,16.2,No,No
2008/5/5,37,9.4,22.3,0,2,10,,,NW,7,34,1015.2,2,22.2,No,No
2008/5/6,9,7.5,16.8,0,2.8,3,NW,41,NW,26,53,1013.8,7,15.4,No,No
2008/5/9,37,11,21.9,0,3.2,10.1,,,SE,11,60,1020.2,1,20.6,No,No
2008/5/13,9,1.3,19,0,2.2,9.4,NNW,30,NW,15,34,1021.4,2,18.6,No,No
2008/5/14,37,11.2,20.6,0,2,9.7,,,ENE,19,64,1020.5,1,20,No,No
2008/5/18,37,8.8,17.8,0,4.2,9.4,,,W,31,36,1006.3,1,17,No,No
2008/5/19,37,10.7,20.5,0,4.4,9.9,,,WNW,7,36,1013.3,0,20.3,No,No
2008/5/19,9,-2.7,18.1,0,2.2,9.3,W,52,WNW,24,36,1014.3,1,16.7,No,No
2008/5/20,9,0.3,17,0,2.2,5.6,WNW,31,WNW,24,52,1018.6,1,16.2,No,No
2008/5/22,37,11.9,18.7,0,4,7.5,,,SSE,19,52,1026.2,2,17.4,No,No
2008/5/26,37,10.9,21.1,0.4,0.4,9.1,,,ENE,13,58,1022.6,2,19.5,No,No
2008/5/26,9,4.7,18.5,3.8,2,5.1,ESE,22,W,6,50,1023.1,4,17.9,Yes,Yes
2008/6/1,9,0.6,14,0,2.2,2.7,NE,17,ENE,7,67,1028.9,7,13.9,No,No
2008/6/2,9,4.6,15.7,0,1,0.6,NNE,15,NNE,6,67,1027.1,7,15.5,No,No
2008/6/6,9,4.4,16.7,0,1.6,9,S,22,NNE,4,42,1022.1,1,16.2,No,No
2008/6/12,9,7.3,16.4,0.2,1.2,8.5,NW,43,WNW,24,48,1019.7,1,14.7,No,No
2008/6/17,37,13.1,17.5,3.4,0.8,1.3,,,SSW,13,73,1024.8,7,17.3,Yes,No
2008/6/18,9,0.4,15.5,0,1,4.7,N,13,NNW,9,70,1023.5,7,15,No,No
2008/6/24,9,0.8,13,0,1.4,4.1,WNW,41,NW,28,69,1024.2,6,11.7,No,No
2008/6/25,37,9.9,19.6,0,2.8,9.8,,,WNW,6,43,1020.6,0,19.4,No,No
2008/6/28,9,-1.5,14.8,0,2.2,8,NW,15,NW,9,41,1026,3,14.5,No,No
2008/7/2,15,5.1,10.8,16.2,3.6,3.2,W,83,SW,26,60,1002.5,6,8.5,Yes,Yes
2008/7/6,9,-0.6,14,0,1.2,7.1,NW,41,NNW,22,59,1026.3,5,13.6,No,No
2008/7/7,15,4.1,15.8,0,1,5.3,NNW,39,WNW,4,61,1015.2,5,13.8,No,Yes
2008/7/8,18,6.9,10.4,5,1.2,0.3,N,37,N,11,71,1017,7,10.3,Yes,Yes
2008/7/9,0,8.4,14.3,1.8,1.6,0.8,NW,41,NW,19,64,1022.7,,13.5,Yes,Yes
2008/7/9,13,17.3,29.2,0,9.6,10.6,ESE,50,ESE,24,15,1015.2,0,28.6,No,No
2008/7/10,0,9.5,13.1,9,1.2,7.2,WSW,52,SW,20,66,1019.6,,11.2,Yes,No
